location_name,category,country_code
ATM Mandri,ATMs,ID
atm Mandiri,ATMs,ID
mandiri atm,ATMs,ID
AtmBank Mandiri,ATMs,ID
BankMandiriATM,ATMs,ID
mandiri OTM,ATMs,ID
ATM Bank Mandiri,ATMs,ID
Otm Mandire,ATMs,ID
Atm Cimb,ATMs,ID
Cimb ATM,ATMs,ID
ATM Cimb Niaga,ATMs,ID
AtmBank BRI,ATMs,ID
BRI atm,ATMs,ID
BRI ATM01,ATMs,ID
ATM BRI,ATMs,ID
BRI OTM,ATMs,ID
OTM BRI,ATMs,ID
bri otm,ATMs,ID
Atm Bang BJB,ATMs,ID
ATM BTN,ATMs,ID
Atm BNT,ATMs,ID
BTN's ATM,ATMs,ID
Atm BankBTN,ATMs,ID
Atm Bank BJB,ATMs,ID
AtmJ Trust,ATMs,ID
J Trust ATM,ATMs,ID
JTrus atm,ATMs,ID
atm BTPN,ATMs,ID
BTPN atm,ATMs,ID
ATM BTPN,ATMs,ID
PNB Bank ATM,ATMs,IN
punjab natuonal bank atm,ATMs,IN
The Ahemdabad Mercantile co op bank,ATMs,IN
csb bank atm,ATMs,IN
atm hdfc bank,ATMs,IN
sbi bank atm,ATMs,IN
ICIC Bank ATM,ATMs,IN
ATM Canar Bank,ATMs,IN
idbi atm,ATMs,IN
ATM Center Axis Bank,ATMs,IN
Bank of Baroda ATM Machine,ATMs,IN
Kotak Mahendra ATM,ATMs,IN
Yes Bank cash point,ATMs,IN
Andhra Bank ATM,ATMs,IN
allahabad_bank_atm,ATMs,IN
HSBC Bank’s ATM,ATMs,IN
union bnk atm,ATMs,IN
Bank Of India ATM Point,ATMs,IN
Dena Bnk ATM,ATMs,IN
Oriental Bank of Commerce ATM!,ATMs,IN
The Federal ATM,ATMs,IN
Karur Vysya Bank ATM,ATMs,IN
ucb atm outlet,ATMs,IN
Citibank ATM,ATMs,IN
Purwanchal bank ATM,ATMs,IN
DCB Bank ATM machine,ATMs,IN
ATM Yes Bank Ltd,ATMs,IN
BOM bank ATM,ATMs,IN
machine Kotak ATM,ATMs,IN
Axis BAnk Cash Point,ATMs,IN
CIMB Bank ATM,ATMs,MY
CIB Bank ATM,ATMs,MY
Bank Islam ATM,ATMs,MY
Bnk Islam Atm,ATMs,MY
Maybank ATM,ATMs,MY
Maybank Autoteller,ATMs,MY
Mbank ATM,ATMs,MY
HSBC ATM,ATMs,MY
HSB ATM,ATMs,MY
Hong Leong Bank ATM,ATMs,MY
Hong Leong ATM,ATMs,MY
Hng Lng Bnk Atm,ATMs,MY
Public Bank ATM,ATMs,MY
Pblc Bnk ATM,ATMs,MY
RHB ATM,ATMs,MY
RHB Bank ATM,ATMs,MY
RH Bank atm,ATMs,MY
Affin Bank ATM,ATMs,MY
Affin Bnk ATM,ATMs,MY
Afin Bank ATM,ATMs,MY
Bank Rakyat ATM,ATMs,MY
BkRakyat ATM,ATMs,MY
BankRakyat ATM,ATMs,MY
AmBank ATM,ATMs,MY
AmBank Autoteller,ATMs,MY
Банк Am ATM,ATMs,MY
Bank Muamalat ATM,ATMs,MY
Bnk Muamalat Autoteller,ATMs,MY
Bank Simpanan Nasional ATM,ATMs,MY
Bnk Simpanan Nasional Autoteller,ATMs,MY
BPI ATM,ATMs,PH
BDO bank,ATMs,PH
Euronet Worldwide ATM,ATMs,PH
chinabank atm,ATMs,PH
bank of commerce atm,ATMs,PH
MeaMetrobankndbank ATM,ATMs,PH
LandBank Cash Machine,ATMs,PH
rcbc atm,ATMs,PH
Security Bank ATM,ATMs,PH
eastwest bank atm,ATMs,PH
china bank savings atm,ATMs,PH
ps Bank ATM Machine,ATMs,PH
UnionBank ATM lamppost,ATMs,PH
Development Bank of the Philippines ATM,ATMs,PH
pgafil savings bank ATM,ATMs,PH
UCPB atm machine,ATMs,PH
Allied Bank ATM,ATMs,PH
PNB atm,ATMs,PH
Card Bank Automated Teller Machine,ATMs,PH
AIAI Bank Cash Mach,ATMs,PH
EuroNetWorldwide ATM,ATMs,PH
City State Savings Bank Machine,ATMs,PH
Asia United Bank AUB ATM,ATMs,PH
CTBC Bank ATM,ATMs,PH
Eur0n3t World Wide ATM,ATMs,PH
BDO Banko ATM,ATMs,PH
Chinobank ATM,ATMs,PH
PBCOM ATM,ATMs,PH
Bank of Makati atm,ATMs,PH
Overseas Filipino Bank ATM Machine,ATMs,PH
,ATMs,PH
UOB Atm Machines,ATMs,SG
uob atm,ATMs,SG
Sam Machine,ATMs,SG
POSB Bank ATM,ATMs,SG
OCBC ATM,ATMs,SG
UO Bank ATM,ATMs,SG
Maybank ATM,ATMs,SG
OCBS atm machine,ATMs,SG
"Citibank ATM,,",ATMs,SG
HSBC money machine,ATMs,SG
Standard Chartered ATM,ATMs,SG
standerd chartered atm,ATMs,SG
"DBS ATM,,",ATMs,SG
UOB Group ATM,ATMs,SG
ATM Posb,ATMs,SG
CitiBank Mony Machine,ATMs,SG
DBS Bnk ATM,ATMs,SG
HSCB cash machine,ATMs,SG
SAM ATM,ATMs,SG
Stand chart cash machine,ATMs,SG
OUB ATM,ATMs,SG
May bank cash dispenser,ATMs,SG
OCB Bank ATM,ATMs,SG
Mashreq Bank ATM,ATMs,SG
POSB Bank cash machine,ATMs,SG
Banque de l'Ouest Atm,ATMs,SG
Dbs Atms,ATMs,SG
UOB Group cash machine,ATMs,SG
Citiback ATM,ATMs,SG
